Name,entityType,credit,metal,crystal,slotCount,BuildTime,MaxHullPoints,MaxShieldPoints,MaxAntiMatter,BaseArmorPoints,maxMitigation,NumWeapons,w1 WeaponClassType,w1 DamagePerBank:FRONT,w1 DamagePerBank:BACK,w1 DamagePerBank:LEFT,w1 DamagePerBank:RIGHT,w1 Range,w1 PreBuffCooldownTime,w2 WeaponClassType,w2 DamagePerBank:FRONT,w2 DamagePerBank:BACK,w2 DamagePerBank:LEFT,w2 DamagePerBank:RIGHT,w2 Range,w2 PreBuffCooldownTime,w3 WeaponClassType,w3 DamagePerBank:FRONT,w3 DamagePerBank:BACK,w3 DamagePerBank:LEFT,w3 DamagePerBank:RIGHT,w3 Range,w3 PreBuffCooldownTime,w4 WeaponClassType,w4 DamagePerBank:FRONT,w4 DamagePerBank:BACK,w4 DamagePerBank:LEFT,w4 DamagePerBank:RIGHT,w4 Range,w4 PreBuffCooldownTime
EotH_Syndic.entity,CapitalShip,1500,90,40,1,70,4810,4810,72,6,0.65,4,"""LASERTECH""",150,0,150,150,5000,4,"""LASERTECH""",125,0,125,125,5000,4,"""ION""",0,0,108,108,5000,4.4,"""LASERTECH""",0,0,120,120,5000,4
EotH_Vigilance.entity,Frigate,250,30,5,2,30,1100,1100,0,2,0.6,2,"""MISSILE""",216,0,0,0,5500,13,"""AUTOCANNON""",30,0,0,0,4000,1,,,,,,,,,,,,,,
EotH_Warlord.entity,Frigate,300,30,20,6,55,2700,2700,200,2,0.6,2,"""LASERTECH""",80,0,0,0,5000,5,"""PHASEMISSILE""",100,0,0,0,5000,6.5,,,,,,,,,,,,,,
Garm_Garm.entity,Frigate,30,5,0,5,4,2610,2048,12,2,0.6,2,"""LASERTECH""",100,0,125,125,5000,4,"""ION""",0,0,100,100,5000,4,,,,,,,,,,,,,,
Garm_Katana.entity,Frigate,30,5,0,5,4,2610,2048,12,2,0.6,2,"""LASERTECH""",100,0,125,125,5000,4,"""ION""",0,0,100,100,5000,4,,,,,,,,,,,,,,
Hapans_BattleDragon.entity,Frigate,600,50,10,5,30,1890,2360,24,3.5,0.6,3,"""LASERTECH""",200,0,0,0,5000,8,"""LASERTECH""",440,0,0,0,5000,8,"""MISSILE""",60,0,0,0,2400,15,,,,,,,
Hapans_NovaCruiser.entity,Frigate,300,30,15,4,3,1890,2360,12,3.5,0.6,3,"""LASERTECH""",120,0,0,0,5000,8,"""LASERTECH""",100,0,0,0,5000,8,"""AUTOCANNON""",35,0,0,0,4000,1,,,,,,,
Hapans_StarHome.entity,Frigate,0,0,0,1,1,4180,4180,120,5,0.75,2,"""LASERTECH""",100,0,40,40,4000,2,"""AUTOCANNON""",35,0,0,0,4000,1,,,,,,,,,,,,,,
NewRep_AssaultFrigate.entity,Frigate,600,60,30,5,45,2090,3060,24,3.5,0.6,3,"""AUTOCANNON""",0,0,20,20,4000,2,"""AUTOCANNON""",0,0,120,120,4000,2,"""LASERTECH""",0,0,75,75,4000,2,,,,,,,
NewRep_BAC.entity,Frigate,1200,60,30,8,50,3420,3400,12,2,0.6,4,"""LASERTECH""",0,0,50,50,5000,4,"""LASERTECH""",0,0,156,156,5000,4,"""ION""",0,0,50,50,5000,4.4,"""PHASEMISSILE""",120,0,0,0,2400,14.5
NewRep_CR90.entity,Frigate,200,25,0,1,20,800,800,0,3.5,0.6,2,"""AUTOCANNON""",20,0,0,0,4000,1,"""AUTOCANNON""",0,0,10,10,4000,1,,,,,,,,,,,,,,
NewRep_CR90Envoy.entity,Frigate,550,70,10,4,63,850,400,0,1,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewRep_CT11.entity,Frigate,0,0,0,0,0,850,0,0,0,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewRep_Dauntless.entity,Frigate,950,90,30,8,65,3290,3260,12,3.5,0.6,2,"""LASERTECH""",0,0,120,120,4000,2,"""ION""",0,0,100,100,5000,4.4,,,,,,,,,,,,,,
NewRep_Endurance.entity,CapitalShip,1300,100,120,1,110,5200,6040,84,4,0.65,3,"""LASERTECH""",200,0,0,0,5000,4,"""AUTOCANNON""",0,0,30,30,4000,1,"""LASERTECH""",200,0,0,0,5000,4.4,,,,,,,
NewRep_EscapePod.entity,Frigate,100,10,25,1,20,1150,125,5,0,0.6,1,"""AUTOCANNON""",10,0,0,0,3500,5.5,,,,,,,,,,,,,,,,,,,,,
NewRep_Ferret.entity,Frigate,100,10,25,1,20,1150,1250,5,0,0.6,1,"""AUTOCANNON""",10,0,0,0,4000,2,,,,,,,,,,,,,,,,,,,,,
NewRep_FrigateResearch.entity,Frigate,600,60,30,5,45,2090,3060,24,3.5,0.6,3,"""AUTOCANNON""",0,0,20,20,4000,2,"""AUTOCANNON""",0,0,100,100,4000,2,"""LASERTECH""",0,0,40,40,4000,2,,,,,,,
NewRep_Gallofree.entity,Frigate,100,10,25,1,20,1150,1125,5,0,0.6,1,"""AUTOCANNON""",10,0,0,0,3500,5.5,,,,,,,,,,,,,,,,,,,,,
NewRep_GallofreeConstructor.entity,Frigate,1500,150,250,1,25,1500,0,0,3,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewRep_Hajen.entity,Frigate,400,45,80,3,40,1500,1500,350,3,0.6,1,"""LASERTECH""",0,0,30,30,5000,5,,,,,,,,,,,,,,,,,,,,,
NewRep_HomeOne.entity,Frigate,0,0,0,1,1,4180,4180,120,5,0.75,2,"""LASERTECH""",100,0,40,40,4000,2,"""ION""",300,0,150,150,5000,4.4,,,,,,,,,,,,,,
NewRep_MC30c.entity,Frigate,600,70,50,5,40,2600,2660,0,3.5,0.6,3,"""LASERTECH""",200,0,0,0,2500,3,"""AUTOCANNON""",0,0,20,20,2500,2,"""PHASEMISSILE""",250,0,0,0,2500,13.5,,,,,,,
NewRep_MC40.entity,Frigate,450,50,30,4,40,2020,2800,12,2,0.6,3,"""LASERTECH""",90,0,0,0,5000,4,"""ION""",200,0,0,0,5000,4.4,"""MISSILE""",50,0,0,0,5500,15,,,,,,,
NewRep_MC80.entity,CapitalShip,1100,40,20,1,75,4020,4550,36,6,0.65,2,"""LASERTECH""",240,0,0,0,5000,4,"""ION""",200,0,0,0,5000,4.4,,,,,,,,,,,,,,
NewRep_MC80b.entity,CapitalShip,1400,60,80,1,95,4500,6025,24,6,0.65,2,"""LASERTECH""",412,0,0,0,5000,4,"""ION""",200,0,0,0,5000,4.4,,,,,,,,,,,,,,
NewRep_MC90.entity,CapitalShip,1700,120,80,1,100,7005,8500,72,6,0.65,3,"""LASERTECH""",300,0,100,100,5000,3,"""ION""",0,0,150,150,5000,4.4,"""PHASEMISSILE""",32,0,0,0,2400,13.5,,,,,,,
NewRep_Nebula.entity,CapitalShip,1650,105,60,1,95,6010,6010,20,6,0.65,4,"""LASERTECH""",200,0,0,0,5000,3,"""LASERTECH""",260,0,130,130,5000,3,"""ION""",0,0,100,100,5000,4.4,"""MISSILE""",120,0,0,0,5500,15
NewRep_Nebulon.entity,Frigate,300,30,0,2,20,1100,1100,0,3.5,0.6,2,"""LASERTECH""",120,0,0,0,4000,2,"""AUTOCANNON""",40,0,0,0,4000,2,,,,,,,,,,,,,,
NewRep_Proficient.entity,Frigate,1000,50,50,6,65,2590,2560,12,3.5,0.6,2,"""LASERTECH""",70,0,20,20,4000,2,"""ION""",60,0,20,20,5000,4.4,,,,,,,,,,,,,,
NewRep_Quasar.entity,Frigate,400,40,15,3,30,1400,1400,48,3,0.6,1,"""AUTOCANNON""",40,0,0,0,4000,1,,,,,,,,,,,,,,,,,,,,,
NewRep_Stargalleon.entity,Frigate,100,0,0,0,30,500,0,0,0,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NewRep_YT.entity,Frigate,100,0,0,0,30,500,0,0,0,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remnant_Allegiance.entity,CapitalShip,2600,205,55,1,85,8200,8200,72,6,0.65,3,"""LASERTECH""",360,0,90,90,5000,4,"""ION""",500,0,50,50,5000,4.4,"""LASERTECH""",200,0,40,40,5000,4,,,,,,,
Remnant_Altor.entity,CapitalShip,800,50,105,1,75,7020,7093.75,322,4,0.65,1,"""LASERTECH""",200,0,0,0,5000,4,,,,,,,,,,,,,,,,,,,,,
Remnant_Carrack.entity,Frigate,200,50,0,2,25,1200,1200,0,2,0.6,2,"""ION""",0,0,100,100,5000,4,"""LASERTECH""",0,0,33,33,5000,4,,,,,,,,,,,,,,
Remnant_Chimera.entity,Frigate,0,0,0,1,1,7000,7000,120,5,0.75,3,"""LASERTECH""",0,0,150,150,5000,4,"""ION""",0,0,250,250,5000,4.4,"""LASERTECH""",0,0,65,65,5000,4,,,,,,,
Remnant_CT11.entity,Frigate,0,0,0,0,0,850,0,0,0,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remnant_CT11_GalaxyGun.entity,Frigate,2000,350,250,1,25,1500,505,0,3,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remnant_Dreadnaught.entity,Frigate,540,60,0,6,45,2610,2648,0,2,0.6,2,"""LASERTECH""",50,0,75,75,5000,4,"""LASERTECH""",50,0,100,100,5000,4,,,,,,,,,,,,,,
Remnant_EscortCarrier.entity,Frigate,410,35,75,4,40,900,900,72,3,0.6,2,"""AUTOCANNON""",25,0,0,0,5000,4,"""MISSILE""",18,0,0,0,5500,15,,,,,,,,,,,,,,
Remnant_FrigateResearch.entity,Frigate,600,60,30,5,45,2090,3060,24,3.5,0.6,3,"""AUTOCANNON""",0,0,20,20,4000,2,"""AUTOCANNON""",0,0,100,100,4000,2,"""LASERTECH""",0,0,40,40,4000,2,,,,,,,
Remnant_Immobilizer.entity,Frigate,700,50,80,4,50,1337,1500,24,2,0.6,1,"""AUTOCANNON""",200,0,0,0,5000,4,,,,,,,,,,,,,,,,,,,,,
Remnant_ISDI.entity,CapitalShip,1180,100,50,1,80,5000,5000,72,6,0.65,3,"""LASERTECH""",200,0,50,50,5000,4,"""ION""",300,0,50,50,5000,4.4,"""LASERTECH""",100,0,20,20,5000,4,,,,,,,
Remnant_ISDII.entity,CapitalShip,1400,105,55,1,85,5000,5200,72,6,0.65,3,"""LASERTECH""",200,0,60,60,5000,4,"""ION""",300,0,50,50,5000,4.4,"""LASERTECH""",240,0,40,40,5000,4,,,,,,,
Remnant_Katana.entity,Frigate,30,5,0,5,4,2610,2048,12,2,0.6,2,"""LASERTECH""",100,0,125,125,5000,4,"""ION""",0,0,100,100,5000,4,,,,,,,,,,,,,,
Remnant_Lambda.entity,Frigate,150,25,30,4,33,850,500,0,0,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remnant_Lancer.entity,Frigate,210,40,0,1,25,600,600,0,3.5,0.6,1,"""AUTOCANNON""",0,0,15,15,4000,1,,,,,,,,,,,,,,,,,,,,,
Remnant_MTC.entity,Frigate,300,55,70,6,37,1505,1505,150,2,0.6,1,"""LASERTECH""",64,0,0,0,5000,4,,,,,,,,,,,,,,,,,,,,,
Remnant_Mu.entity,Frigate,240,50,0,1,15,600,1200,0,2,0.6,1,"""AUTOCANNON""",10,0,0,0,4000,2,,,,,,,,,,,,,,,,,,,,,
Remnant_Sentinel.entity,Frigate,100,10,25,1,22,925,250,5,0,0.6,1,"""LASERTECH""",5,0,0,0,5000,4,,,,,,,,,,,,,,,,,,,,,
Remnant_SentinelConstructor.entity,Frigate,1500,150,250,1,25,1500,0,0,3,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remnant_Stargalleon.entity,Frigate,100,0,0,0,30,500,0,0,0,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remnant_Strikecruiser.entity,Frigate,400,70,15,5,40,1600,2800,24,2,0.6,2,"""ION""",120,0,0,0,5000,4.4,"""LASERTECH""",210,0,0,0,5000,4,,,,,,,,,,,,,,
Remnant_TorpedoSphere.entity,CapitalShip,1180,100,50,1,80,5000,5000,72,6,0.65,2,"""PHASEMISSILE""",90,0,0,0,2400,3.5,"""LASERTECH""",100,0,0,0,5000,4,,,,,,,,,,,,,,
Remnant_VSDI.entity,Frigate,680,65,30,7,55,3185,3185,24,2,0.6,3,"""LASERTECH""",100,0,50,50,5000,4,"""LASERTECH""",150,0,50,50,5000,4,"""MISSILE""",150,0,50,50,5500,15,,,,,,,
Remnant_VSDII.entity,Frigate,860,75,40,8,60,3185,3185,24,2,0.6,3,"""LASERTECH""",120,0,30,30,5000,4,"""ION""",120,0,40,40,5000,4,"""LASERTECH""",150,0,40,40,5000,4,,,,,,,
Remnant_WorldDevastator.entity,CapitalShip,3000,250,120,20,180,7000,7000,72,6,0.65,2,"""ION""",0,0,200,200,5000,4.4,"""LASERTECH""",200,0,400,400,5000,4,,,,,,,,,,,,,,
Ssi_Lwhekk.entity,CapitalShip,800,70,10,15,70,2600,2600,72,6,0.65,1,"""LASERTECH""",150,0,100,100,5000,4,,,,,,,,,,,,,,,,,,,,,
Ssi_Shree.entity,CapitalShip,800,70,10,15,70,3200,3200,72,6,0.65,3,"""LASERTECH""",240,0,0,0,5000,4,"""ION""",200,0,0,0,5000,4.4,"""MISSILE""",36,0,0,0,5500,15,,,,,,,
Ssi_Wurrif.entity,Frigate,340,50,0,3,25,1200,1200,200,2,0.6,2,"""LASERTECH""",150,0,0,0,5000,4,"""ION""",100,0,0,0,5000,4.4,,,,,,,,,,,,,,
Vong_AvekIiluuno.entity,CapitalShip,30,40,20,50,15,6210,6210,225,6,0.65,1,"""LASERTECH""",50,0,50,50,5000,4,,,,,,,,,,,,,,,,,,,,,
Vong_MiidRoik.entity,CapitalShip,30,40,20,50,15,6210,6210,225,6,0.65,1,"""LASERTECH""",50,0,50,50,5000,4,,,,,,,,,,,,,,,,,,,,,
Warlords_Zsinj.entity,Frigate,200,50,0,3,25,30000,30000,200,2,0.6,3,"""LASERTECH""",1250,0,1250,1250,10000,4,"""MISSILE""",300,0,200,200,5500,15,"""ION""",900,0,400,400,10000,4.4,,,,,,,
